object_type,rows,mean_gt_value,MAE,MAPE,Bias
Eindwoning,75,524107.26666666666,29232.79665755904,5.5937517780765456,0.8271839730836354
Geschakelde 2-onder-1-kapwoning,85,548746.3764705883,29895.67058340821,5.781757557065498,0.7977479639037747
Tussenwoning,662,486757.33987915405,27988.541401774444,5.8573568876555395,1.2905406551332044
Portiekflat,33,361611.6060606061,20917.327682880725,6.09352741454838,2.227084854868099
Hoekwoning,206,499576.26699029125,32743.5887539091,6.675390186479044,1.6682506192252853
Bovenwoning,42,572649.5238095238,46126.7346131133,7.658203377447029,0.23172008766646018
2-onder-1-kapwoning,325,558710.5876923077,44414.31139786057,7.958093222598863,1.784096966304376
Geschakelde woning,57,576080.5438596491,45154.40587138126,7.9722218728267835,2.393465258246098
Halfvrijstaande woning,39,604090.282051282,50254.628777970254,8.408727878570334,1.2466836306899975
Vrijstaande woning,383,779702.0234986945,75592.29245657077,9.432755944637666,0.20725634645370408
